UNITID,UGDS,ADM_RATE
139719,2223,0.2645
139746,70,NULL
139755,14766,0.2577
139764,2409,0.6818
139861,5923,0.8452
139931,17349,0.6455
139940,24478,0.5884
139959,27851,0.539
139968,3577,0.5433
139986,4035,NULL
139995,236,NULL
140003,286,NULL
140012,6627,NULL
140146,NULL,NULL
140234,902,0.5772
140243,3177,NULL
140252,718,0.9214
140331,8748,NULL
140340,599,0.9606
140447,4645,0.6935
140553,2104,0.6607
140562,NULL,NULL
140678,2389,NULL
140696,1183,0.804
140720,419,0.2458
140818,1295,0.5715
140827,63,NULL
140872,1326,0.8745
140942,3509,NULL
140951,9931,0.7171
140960,4627,0.5078
140988,1342,0.6115
141006,1466,NULL
141015,249,NULL
141060,2122,0.3573
141167,722,0.4736
141185,796,0.5414
141237,740,0.9061
141255,2466,NULL
141264,8589,0.6513
141325,559,0.3765
141334,10599,0.5909
141361,1118,0.5504
141486,1651,0.9133
141565,2962,0.691
141574,12767,0.8498
141608,84,NULL
141644,3384,0.7537
141680,2997,NULL
141796,5235,NULL
141802,1045,NULL
141811,5274,NULL
141839,2694,NULL
141848,39,NULL
141936,NULL,NULL
141945,70,NULL
141981,2757,0.6806
141990,1489,NULL
142054,440,0.5882
142090,134,0.9
142115,16045,0.8173
142179,559,NULL
142276,8307,NULL
142285,7735,0.7589
142294,953,0.8482
142328,3038,0.9715
142407,50,NULL
142416,15,NULL
142443,4107,NULL
142461,1244,0.9528
142489,23,NULL
142522,32042,0.9583
142559,4047,NULL
142832,NULL,NULL
142887,297,NULL
143048,2848,0.5932
143084,2522,0.5162
143118,3784,0.8772
143181,48,NULL
143215,8056,NULL
143233,NULL,NULL
143279,3678,NULL
143288,587,0.5385
143297,255,NULL
143303,17,NULL
143358,4464,0.6981
143376,312,NULL
143464,92,NULL
143473,39,NULL
143482,49,NULL
143491,85,NULL
143516,31,NULL
143543,67,NULL
143552,63,NULL
143613,1475,NULL
143659,NULL,NULL
143695,18,NULL
143853,NULL,NULL
143978,NULL,NULL
144005,2352,0.5788
144014,NULL,NULL
144050,5978,0.0794
144157,2537,NULL
144166,4653,NULL
144175,1665,NULL
144184,3265,NULL
144193,3395,NULL
144209,7210,NULL
144218,6761,NULL
144281,7739,0.8806
144351,1467,0.4969
144467,418,NULL
144485,458,NULL
144564,1802,NULL
144573,60,NULL
144740,15151,0.6975
144795,177,NULL
144865,14398,NULL
144883,514,NULL
144892,5750,0.4688
144944,7860,NULL
144962,2778,0.7189
144971,666,0.6453
145099,221,NULL
145239,374,0.7457
145275,NULL,NULL
145309,41,NULL
145336,3469,0.413
145354,38,1
145372,956,0.5782
145406,210,NULL
145424,81,NULL
145433,89,NULL
145460,7,NULL
145497,199,0.915
145521,1412,NULL
145558,NULL,NULL
145600,17804,0.7359
145619,3132,NULL
145628,NULL,NULL
145637,32752,0.6007
145646,1763,0.5821
145682,7122,NULL
145691,952,0.5403
145707,715,NULL
145725,2859,0.571
145770,169,NULL
145813,18571,0.8888
145831,2521,NULL
145886,NULL,NULL
146010,30,NULL
146205,3086,NULL
146241,NULL,NULL
146278,1562,NULL
146296,11642,NULL
146339,1105,0.7485
146348,2530,NULL
146366,1947,NULL
146393,1139,0.8377
146418,2876,NULL
146427,1333,0.6521
146454,25,NULL
146472,10434,NULL
146481,1514,0.5694
146490,NULL,NULL
146506,3443,NULL
146533,274,NULL
146603,3681,NULL
146612,4433,0.5919
146667,446,0.5288
146676,995,0.6202
146685,4713,NULL
146700,680,NULL
146719,10906,0.7257
146728,NULL,NULL
146755,223,NULL
146807,60,NULL
146816,168,NULL
146825,551,0.562
146977,NULL,NULL
147004,4419,NULL
147013,2220,0.6816
147031,NULL,NULL
147129,672,0.5
147165,402,0.75
147244,1916,0.638
147341,1133,0.5206
147369,2826,0.6176
147378,11558,NULL
147396,88,NULL
147411,3371,NULL
147439,63,NULL
147536,1403,0.7638
147590,77,NULL
147642,49,NULL
147660,2626,0.5936
147679,2119,0.9418
147697,NULL,NULL
147703,14036,0.5184
147749,262,0.5551
147767,8563,0.1066
147776,7570,0.7101
147800,8800,NULL
147819,51,NULL
147828,3348,0.777
147916,6019,NULL
148007,3730,NULL
148098,79,NULL
148131,1081,0.6623
148140,111,NULL
148177,970,NULL
148256,1641,NULL
148292,2154,NULL
148335,2345,0.2313
148380,6516,NULL
148399,596,NULL
148405,1037,0.5443
148487,2710,0.7329
148496,2288,0.6373
148511,122,NULL
148575,384,NULL
148584,1606,0.4923
148593,136,NULL
148627,2931,0.7525
148654,2877,0.653
148672,1491,NULL
148821,1147,NULL
148849,73,1
148876,1350,NULL
148885,NULL,NULL
148937,721,NULL
148955,61,0.6667
148982,NULL,NULL
148991,1137,NULL
149028,228,1
149204,43,NULL
149222,12056,0.7665
149231,11652,0.893
149310,92,NULL
149329,70,0.9231
149365,3372,NULL
149499,11,NULL
149505,1085,0.7002
149514,776,0.5978
149532,9759,NULL
149550,171,NULL
149639,103,0.902
149727,7556,NULL
149763,571,NULL
149772,8543,0.5945
149781,2432,0.7865
149842,11053,NULL
150048,554,NULL
150066,1702,0.6642
150136,16260,0.6225
150145,1339,0.9777
150163,4235,0.7271
150172,744,NULL
150215,NULL,NULL
150251,176,NULL
150288,NULL,NULL
150303,236,NULL
150400,2186,0.6533
150428,40,NULL
150437,52,NULL
150455,994,0.5763
150534,2064,0.7089
150604,975,0.7809
150668,793,0.6245
150677,1579,0.7873
150695,54,NULL
150756,1083,0.5733
150765,60,NULL
150774,606,0.9101
150853,116,NULL
150941,924,0.8921
150987,65092,NULL
151102,8302,0.9326
