STABBR,loan_ever,female,age_entry,md_faminc,md_earn_wne_p10
CA,0.9499999881,0.2099999934,28.7700004578,30586.5,49200
CA,0.9399999976,0.8700000048,24.0100002289,31459.5,NA
CA,1,0.6899999976,28.6700000763,23437.5,123200
CA,0.0099999998,0.6100000143,26.9599990845,11917,23000
CA,0.9399999976,0.2899999917,23.0400009155,38841,NA
CA,0.0399999991,0.7099999785,27.1499996185,12774.5,30200
CA,0.0900000036,0.6700000167,27.0100002289,11263,29000
CA,0.1400000006,0.6200000048,26.3400001526,12739,28000
CA,0.0299999993,0.6200000048,24.5599994659,19197,30500
CA,0.3600000143,0.5600000024,24.75,19179,32900
CA,0.1199999973,0.6399999857,27.1900005341,13447,26800
CA,0.2300000042,0.6100000143,25.8299999237,17072,33000
CA,0.2899999917,0.5400000215,23.5200004578,14955,43600
CA,NA,NA,NA,NA,13200
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
UT,NA,NA,NA,NA,NA
UT,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,1,0.3799999952,26.2399997711,24407,NA
CA,0.0900000036,0.6299999952,24.1100006104,21097.5,29700
CA,0.9599999785,0.9100000262,26.1499996185,34299,33900
CA,0.1299999952,0.5500000119,24.6700000763,14205,38300
CA,0.9599999785,0.7799999714,25.2000007629,54367,51400
CA,NA,NA,NA,NA,NA
CA,0.0700000003,0.6399999857,23.8500003815,16815,31600
CA,0.1000000015,0.8999999762,25.8600006104,12679,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,0.0900000036,0.6700000167,24.6399993896,15039,30200
CA,0.9499999881,0.8999999762,24.5100002289,19767,NA
CA,0.8399999738,0.9499999881,30.5400009155,16413,12600
CA,NA,NA,NA,NA,NA
CA,0.7599999905,0.9499999881,26.9699993134,16916,11700
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,0.9399999976,0.7799999714,28.8099994659,24812,34500
CA,0.0799999982,0.6100000143,24.5,13033,32700
CA,0.9900000095,0.8899999857,21.4500007629,49904,34500
CA,0.9900000095,0.8899999857,21.4500007629,49904,34500
CA,0.9900000095,0.8899999857,21.4500007629,49904,34500
CA,0.6200000048,0.5,24.3299999237,24451.5,26900
CA,0.9499999881,0.9599999785,25.4799995422,30656,21000
CA,NA,NA,NA,NA,NA
CA,0.9200000167,0.6899999976,30.4200000763,4563,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,0.349999994,0.5699999928,26.3199996948,15491,47600
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,0,0.9300000072,25.9300003052,10608,NA
CA,0.1199999973,0.5699999928,23.5699996948,14853,26000
CA,0.9300000072,0.6899999976,26.0200004578,44931.5,39700
CA,1,0.6899999976,26.2900009155,6838,NA
CA,0.2099999934,0.5600000024,23.2999992371,18203,32700
CA,0.200000003,0.6600000262,25,16802,26900
CA,0.9499999881,0.6299999952,26.9099998474,27503,38800
CA,0.0700000003,0.6000000238,25.8999996185,13561,30800
CA,0.8999999762,0.8199999928,28.9400005341,17188,27800
CA,0.9700000286,0.6299999952,29.2099990845,29724,64200
CA,0.9700000286,0.6299999952,29.2099990845,29724,64200
WA,0.9700000286,0.6299999952,29.2099990845,29724,64200
CA,0.9700000286,0.6299999952,29.2099990845,29724,64200
CA,0.2899999917,0.5500000119,24.8500003815,14732,31700
CA,NA,NA,NA,NA,NA
CA,0.2399999946,0.6200000048,24.7900009155,16961,32300
CA,0.4900000095,0.9499999881,23.8400001526,12512,12200
CA,0.0500000007,0.5899999738,24.6299991608,20959.5,29500
CA,0.9700000286,0.3600000143,19.2999992371,86164.5,78600
CA,0.8899999857,0.6700000167,25.6299991608,22672,35200
CA,0.8799999952,0.6299999952,24.3700008392,15885,30100
CA,0.9599999785,0.6499999762,25.5599994659,25240,42100
CA,0.9200000167,0.6299999952,24.9599990845,27143,37400
CA,0.8799999952,0.6899999976,25.5900001526,20959.5,40000
CA,0,0.9200000167,33.6500015259,18921,17200
CA,0.9800000191,0.75,25.8500003815,45708,50100
CA,NA,NA,NA,NA,NA
CA,0.8899999857,0.5600000024,22.8799991608,26935.5,36200
CA,0.9200000167,0.8500000238,28.1100006104,22573,31300
CA,0.9200000167,0.8500000238,28.1100006104,22573,31300
CA,0,0.6100000143,23.5400009155,17702,24500
CA,0.8799999952,0.6399999857,29.8199996948,17905.5,35500
CA,0.9900000095,0.8999999762,30.9899997711,57540,25200
CA,0,0.9700000286,28.4500007629,14328,NA
CA,NA,NA,NA,NA,NA
CA,0.2599999905,0.5600000024,25.1000003815,17133,35200
CA,NA,NA,NA,NA,NA
CA,0.9499999881,0.1800000072,24.8700008392,28692,38400
CA,0.9700000286,0.25,23.5,30021,38400
CA,0.9700000286,0.2099999934,23.7600002289,30155,38400
CA,0.9200000167,0.9599999785,26.4200000763,27070,17000
CA,0.9700000286,0.7599999905,34.4000015259,31386,39500
CA,0.9200000167,0.6700000167,21.3999996185,54611,NA
CA,0.1000000015,0.6000000238,23.8700008392,20503,25200
CA,0.9200000167,0.4900000095,23.3999996185,45853,31200
CA,0.9700000286,0.4499999881,23.1100006104,39753,38200
CA,0.9499999881,0.7300000191,27.7600002289,39519,52700
CA,0.9499999881,0.5199999809,21.9799995422,47903,39800
CA,0.200000003,0.5699999928,27.5699996948,12925,28400
CA,0.7799999714,0.8399999738,25.4099998474,14842,15700
CA,0.0399999991,0.6299999952,28.2800006866,7265,27600
CA,0.3799999952,0.5799999833,26,15219.5,25300
CA,NA,NA,NA,NA,NA
CA,1,0.7900000215,29.8899993896,26485,NA
CA,0.8500000238,0.4399999976,31.5400009155,24866,NA
CA,0.9499999881,0.6000000238,20.9300003052,51186,41300
CA,1,0.7099999785,25.9200000763,27587,72800
CA,0.1400000006,0.6100000143,25.5699996948,11012.5,27800
CA,NA,NA,NA,NA,NA
CA,0.0700000003,0.6499999762,25.1800003052,14864,29700
CA,0.1599999964,0.5899999738,24.2399997711,16710,33600
CA,0.0299999993,0.7599999905,27.7700004578,9789,25900
CA,0.0299999993,0.6100000143,27.2600002289,11260,26500
CA,0.1000000015,0.6399999857,26.0300006866,14856,30600
CA,0.9300000072,0.5,21.9799995422,62514,40900
CA,0.1700000018,0.5699999928,29.5799999237,9012,25600
CA,0.8799999952,0.75,31.4200000763,30703,85800
CA,0.0799999982,0.6899999976,26.7600002289,18762,28900
CA,0.0700000003,0.6899999976,26.3600006104,13368,34300
CA,0.9700000286,0.4199999869,22.6100006104,37488,38200
CA,0.9700000286,0.5899999738,20.1200008392,76696,55600
CA,NA,NA,NA,NA,NA
CA,0,0.9599999785,24.8099994659,14959,18200
CA,0,0.9800000191,24.9400005341,13234,NA
CA,0.0500000007,0.9300000072,24.75,12742,17300
CA,0.8999999762,0.9700000286,26.4899997711,39572,16700
CA,0.8100000024,0.8600000143,29.25,5170.5,25200
CA,0.8899999857,0.7200000286,28.5400009155,20887,38500
CA,0.8999999762,0.9100000262,25.1100006104,9618.5,26900
CA,0.9300000072,0.8100000024,26.5300006866,27204,35300
CA,0.9300000072,0.8199999928,26.2000007629,23456,32600
CA,0.349999994,0.6000000238,27.5200004578,9985,32300
CA,0.8799999952,0.9300000072,26.2299995422,15337,14000
CA,NA,NA,NA,NA,14000
CA,NA,NA,NA,NA,14000
CA,NA,NA,NA,NA,14000
CA,NA,NA,NA,NA,14000
CA,NA,NA,NA,NA,14000
CA,NA,NA,NA,NA,14000
CA,NA,NA,NA,NA,14000
CA,NA,NA,NA,NA,14000
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,0.9200000167,0.6600000262,19.5599994659,49503,32600
CA,0.1599999964,0.6100000143,26.3600006104,14230.5,23500
CA,0.9499999881,0.4099999964,21.2399997711,54828,50600
CA,0,0.6299999952,23.7999992371,16223,26100
CA,0.0900000036,0.7300000191,29.5100002289,10026,28500
CA,0.9599999785,0.9800000191,23.1399993896,35189.5,39000
CA,0.25,0.6499999762,24.9899997711,18199,29500
CA,0.8600000143,0.8500000238,27.8199996948,16861,25700
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,NA,NA,NA,NA,NA
CA,0.1199999973,0.6499999762,29.1100006104,11121.5,32800
CA,0.8799999952,0.9499999881,23.8299999237,14075,15900
CA,0.9399999976,0.5899999738,26.3500003815,22998,35000
CA,0,0.6399999857,24.9699993134,14448,27500
CA,0,0.0900000036,26.6599998474,0,NA
CA,0.9900000095,0.6499999762,27.3299999237,8133,53400
CA,0.2300000042,0.6200000048,26.1200008392,15273,34100
CA,0.3400000036,0.6000000238,24.1700000763,19670,38500
CA,0.0700000003,0.5799999833,23.0499992371,18578,33800
CA,0.9499999881,0.9200000167,23.8500003815,39973.5,50200
CA,0.9499999881,0.9200000167,23.8500003815,39973.5,50200
CA,0.1899999976,0.6700000167,26.6900005341,16345,26500
CA,NA,NA,NA,NA,NA
CA,0.9499999881,0.1400000006,23.1599998474,34838,26100
CA,0.1800000072,0.6600000262,26.0499992371,17888,34300
CA,0.8899999857,0.8899999857,25.7700004578,10330,31300
CA,0.9399999976,0.8100000024,24.4799995422,21662.5,29500
CA,0.9100000262,0.8100000024,24.4200000763,8874,25800
